Wohnung.com
RATGEBER
IMMOBILIENBEWERTUNG
STATISTIKEN
Adresse
Suche: Stadt, PLZ oder Adresse
Wohnfläche in m²
Wohnung.com Alle Städte
Alle Städte im Überblick
 Baden-Württemberg Bayern Berlin Brandenburg Bremen Hamburg Hessen Mecklenburg-Vorpommern Niedersachsen Nordrhein-Westfalen Rheinland-Pfalz Saarland Sachsen Sachsen-Anhalt Schleswig-Holstein Thüringen
Ø Mietpreis: von 0 bis 30 €/m²
Ø Kaufpreis: von 0 bis 10.000 €/m²
Leisnig4,94 €/m² / 1.333 €/m²
Lengefeld4,41 €/m² / 481 €/m²
Lengenfeld4,49 €/m² / 641 €/m²
Leubsdorf4,88 €/m² / 812 €/m²
Leutersdorf4,74 €/m² / 482 €/m²
Lichtenstein5,64 €/m² / 1.391 €/m²
Lichtentanne5,16 €/m² / 789 €/m²
Liebschützberg4,72 €/m² / 660 €/m²
Limbach4,65 €/m² / 1.069 €/m²
Limbach-Oberfrohna4,96 €/m² / 955 €/m²
Lohmen5,52 €/m² / 1.133 €/m²
Lommatzsch4,86 €/m² / 601 €/m²
Lunzenau4,40 €/m² / 608 €/m²
Löbau4,79 €/m² / 610 €/m²
Lößnitz4,81 €/m² / 688 €/m²
M ∅ MIETE / ∅ KAUF
Machern5,67 €/m² / 1.537 €/m²
Malschwitz5,05 €/m² / 886 €/m²
Marienberg5,05 €/m² / 755 €/m²
Markkleeberg6,85 €/m² / 2.215 €/m²
Markranstädt5,94 €/m² / 1.430 €/m²
Meerane4,96 €/m² / 702 €/m²
Meißen5,43 €/m² / 1.005 €/m²
Mildenau4,63 €/m² / 856 €/m²
Mittweida5,63 €/m² / 796 €/m²
Mochau4,86 €/m² / 563 €/m²
Moritzburg7,39 €/m² / 2.102 €/m²
Muldenhammer3,93 €/m² / 501 €/m²
Mylau4,58 €/m² / 400 €/m²
Mügeln4,63 €/m² / 471 €/m²
Müglitztal5,28 €/m² / 1.473 €/m²
Mühlau4,83 €/m² / 814 €/m²
Mülsen4,99 €/m² / 659 €/m²
N ∅ MIETE / ∅ KAUF
Narsdorf4,65 €/m² / 694 €/m²
Naundorf5,53 €/m² / 371 €/m²
Naunhof6,27 €/m² / 1.665 €/m²
Netzschkau4,74 €/m² / 512 €/m²
Neukieritzsch5,15 €/m² / 714 €/m²
Neukirch7,81 €/m² / 1.729 €/m²
Neukirch/Lausitz4,89 €/m² / 547 €/m²
Neukirchen/Pleiße4,99 €/m² / 666 €/m²
Neukyhna5,74 €/m² / 1.001 €/m²
Neumark4,62 €/m² / 538 €/m²
Niederau6,17 €/m² / 1.459 €/m²
